GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_003,ru.job4j.user,User,55,71,9,1,11,20,10,9,5,9
chapter_003,ru.job4j.map,UserConvert,0,27,0,2,0,6,0,3,0,2
chapter_003,ru.job4j.departaments,SortDepartaments,0,73,0,4,0,12,0,5,0,3
chapter_003,ru.job4j.seach,PriorityQueue,0,43,0,4,0,9,0,5,0,3
chapter_003,ru.job4j.seach,Person,9,18,0,0,3,7,3,2,3,2
chapter_003,ru.job4j.seach,Task,0,15,0,0,0,6,0,3,0,3
chapter_003,ru.job4j.seach,PhoneDictionary,15,41,7,3,0,10,4,4,0,3
chapter_003,ru.job4j.comparator,ListCompare,0,49,0,8,0,10,0,6,0,2
chapter_003,ru.job4j.list,SortUser,0,24,0,0,0,6,0,4,0,4
chapter_003,ru.job4j.list,SortUser.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
chapter_003,ru.job4j.list,ConvertList2Array,42,51,5,5,6,12,4,4,1,2
chapter_003,ru.job4j.list,ConvertMatrix2List,0,46,0,4,0,6,0,4,0,2
chapter_003,ru.job4j.list,SortUser.new Comparator() {...},4,28,2,4,0,3,2,3,0,2
chapter_003,ru.job4j.review,Bank,34,69,3,3,6,12,7,5,4,5
chapter_003,ru.job4j.review,Sorter,0,24,0,0,0,7,0,4,0,4
chapter_003,ru.job4j.review,Convert,4,94,1,9,0,18,1,7,0,3
chapter_003,ru.job4j.review,Sorter.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
chapter_003,ru.job4j.review,Account,25,68,5,7,4,16,8,5,3,4
chapter_003,ru.job4j.review,Sorter.new Comparator() {...},0,14,0,0,0,2,0,2,0,2
chapter_003,ru.job4j.bank,Bank,1,207,6,26,0,40,6,20,0,10
chapter_003,ru.job4j.bank,Account,3,44,3,3,1,13,4,4,1,4
