nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
15;1;schuilnaam;0,030756071;2;;10;0;0;0;0;346;0,999580766;3,339773226;1;1,959963985;W;W;W;W;3120;31,05;3,494154594;1,492061605
39;1;bijbel;0,096797804;2;;6;0;0;0;0;355;0,999576486;3,336951575;1;1,959963985;W;W;W;W;20700;31,05;4,315970345;1,492061605
24;1;kleding;0,119847282;2;;7;0;0;0;0;326;0,999695152;3,427263641;1;1,959963985;W;W;W;W;23800;31,05;4,376576957;1,492061605
9;1;schommelen;0,199282153;2;;10;0;0;0;0;332;0,999565537;3,329850835;1;1,959963985;W;W;W;W;2400;31,05;3,380211242;1,492061605
7;1;aankondigen;0,278128976;2;;11;0;0;0;0;343;0,999577654;3,337718457;1;1,959963985;W;W;W;W;2430;31,05;3,385606274;1,492061605
5;1;tenzij;0,40068194;2;;6;0;0;0;0;346;0,999580766;3,339773226;1;1,959963985;W;W;W;W;21700;31,05;4,336459734;1,492061605
6;1;krimpen;0,417345114;2;;7;0;0;0;0;361;0,999577588;3,33767522;1;1,959963985;W;W;W;W;5170;31,05;3,713490543;1,492061605
1;1;papier;0,55491003;2;;6;0;0;0;0;335;0,999606161;3,357089063;1;1,959963985;W;W;W;W;53500;31,05;4,728353782;1,492061605
38;1;speciaal;0,582150268;2;;8;0;0;0;0;339;0,999591596;3,347035471;1;1,959963985;W;W;W;W;38100;31,05;4,580924976;1,492061605
33;1;loodgieter;0,644118318;2;;10;0;0;0;0;345;0,99963248;3,376163982;1;1,959963985;W;W;W;W;2130;31,05;3,328379603;1,492061605
11;1;opscheppen;0,716920926;2;;10;0;0;0;0;366;0,999595718;3,349846381;1;1,959963985;W;W;W;W;2160;31,05;3,334453751;1,492061605
21;1;uitdelen;0,751244348;2;;8;0;0;0;0;332;0,999567416;3,331057347;1;1,959963985;W;W;W;W;2960;31,05;3,471291711;1,492061605
29;1;oppervlakte;0,764486885;2;;11;0;0;0;0;341;0,999587278;3,34411892;1;1,959963985;W;W;W;W;16100;31,05;4,206825876;1,492061605
13;1;droomwereld;0,797246383;2;;11;0;0;0;0;339;0,999615965;3,364052305;1;1,959963985;W;W;W;W;2560;31,05;3,408239965;1,492061605
22;1;bar;0,821841112;2;;3;0;0;0;0;351;0,999623383;3,369431593;1;1,959963985;W;W;W;W;21600;31,05;4,334453751;1,492061605
32;1;pensioen;0,829619572;2;;8;0;0;0;0;369;0,999595986;3,350029808;1;1,959963985;W;W;W;W;12200;31,05;4,086359831;1,492061605
36;1;verbluffend;0,862534569;2;;11;0;0;0;0;355;0,999645566;3,386126168;1;1,959963985;W;W;W;W;3460;31,05;3,539076099;1,492061605
23;1;maximaal;0,931707149;2;;8;0;0;0;0;339;0,999615965;3,364052305;1;1,959963985;W;W;W;W;14700;31,05;4,167317335;1,492061605
16;1;bijgeloof;0,95018932;2;;9;0;0;0;0;336;0,999598743;3,351926131;1;1,959963985;W;W;W;W;4450;31,05;3,648360011;1,492061605
4;1;matroos;0,995750227;2;;7;0;0;0;0;340;0,99956493;3,329461818;1;1,959963985;W;W;W;W;5240;31,05;3,719331287;1,492061605
65;2;stoer;0,085017568;2;;5;0;0;0;0;330;0,999519896;3,301933333;1;1,959963985;W;W;W;W;4700;11,25;3,672097858;1,051152522
56;2;bouwgrond;0,103895879;2;;9;0;0;0;0;337;0,999463969;3,270898982;1;1,959963985;W;W;W;W;1180;;3,071882007;
54;2;notitieblok;0,134889611;2;;11;0;0;0;0;350;0,99954647;3,317872369;1;1,959963985;W;W;W;W;2480;31,05;3,394451681;1,492061605
68;2;arm;0,167987888;2;;3;0;0;0;0;317;0,999483149;3,281189713;1;1,959963985;W;W;W;W;55500;79,26;4,744292983;1,899054068
74;2;onschadelijk;0,288328994;2;;12;0;0;0;0;347;0,999462977;3,270376067;1;1,959963985;W;W;W;W;2930;4,18;3,46686762;0,621176282
80;2;contact;0,291980648;2;;7;0;0;0;0;337;0,99952347;3,304029072;1;1,959963985;W;W;W;W;102000;92,52;5,008600172;1,966235624
53;2;knecht;0,347752978;2;;6;0;0;0;0;337;0,999551067;3,320717073;1;1,959963985;W;W;W;W;9240;31,05;3,965671971;1,492061605
43;2;jongleren;0,43913985;2;;9;0;0;0;0;329;0,999554642;3,32294763;1;1,959963985;W;W;W;W;2200;31,05;3,342422681;1,492061605
51;2;woordenschat;0,487225108;2;;12;0;0;0;0;335;0,999483476;3,28136839;1;1,959963985;W;W;W;W;4420;31,05;3,645422269;1,492061605
50;2;opwarmen;0,54625056;2;;8;0;0;0;0;330;0,999528734;3,307141514;1;1,959963985;W;W;W;W;1550;31,05;3,190331698;1,492061605
70;2;postzegel;0,639842435;2;;9;0;0;0;0;342;0,999493036;3,286633426;1;1,959963985;W;W;W;W;3420;1,67;3,534026106;0,222716471
62;2;pompoen;0,658197741;2;;7;0;0;0;0;360;0,999552324;3,321499605;1;1,959963985;W;W;W;W;2280;2,49;3,357934847;0,396199347
61;2;ingang;0,702423048;2;;6;0;0;0;0;319;0,999486758;3,283165692;1;1,959963985;W;W;W;W;27200;16,35;4,434568904;1,213517757
49;2;leerzaam;0,786688965;2;;8;0;0;0;0;326;0,999495683;3,28810707;1;1,959963985;W;W;W;W;3250;31,05;3,511883361;1,492061605
75;2;beschaamd;0,794908168;2;;9;0;0;0;0;339;0,999529709;3,307721613;1;1,959963985;W;W;W;W;5410;4,71;3,733197265;0,673020907
77;2;tegenstander;0,864321775;2;;12;0;0;0;0;307;0,999519246;3,301553932;1;1,959963985;W;W;W;W;10500;11,25;4,021189299;1,051152522
76;2;groeien;0,888045485;2;;7;0;0;0;0;313;0,999497146;3,288925017;1;1,959963985;W;W;W;W;22900;25,68;4,359835482;1,409595019
69;2;fietspomp;0,895200252;2;;9;0;0;0;0;339;0,999501054;3,291120446;1;1,959963985;W;W;W;W;537;0,09;2,729974286;-1,045757491
78;2;tijdrovend;0,970425283;2;;10;0;0;0;0;328;0,999554961;3,323147701;1;1,959963985;W;W;W;W;2380;0,32;3,376576957;-0,494850022
64;2;feestelijk;0,981494602;2;;10;0;0;0;0;328;0,99952223;3,303300573;1;1,959963985;W;W;W;W;5560;0,87;3,745074792;-0,060480747
88;3;verzorgd;0,047500956;2;;8;0;0;0;0;337;0,998890598;3,059265612;0,997032641;1,913860504;W;W;W;W;12700;6,4;4,103803721;0,806179974
82;3;trekken;0,108103021;2;;7;0;0;0;0;363;0,998912997;3,06537049;0,997245179;1,917029691;W;W;W;W;71100;82,05;4,851869601;1,914078585
108;3;vraagteken;0,190310551;2;;10;-0,4;0;0;0,5;324;0,999255673;3,176886319;0,99691358;1,912093538;W;W;W;W;2980;0,75;3,474216264;-0,124938737
98;3;lerares;0,210771818;2;;7;-0,4;0;0;-0,4;305;0,999450185;3,263711854;1;1,959963985;W;W;W;W;4480;11,64;3,651278014;1,06595298
118;3;handbal;0,243978167;2;;7;0,3;-0,6;-0,6;-0,3;386;0,999122856;3,128955694;0,997409326;1,91949056;W;W;W;W;1370;0,39;3,136720567;-0,408935393
105;3;kostbaar;0,350272885;2;;8;-0,4;0;0;-0,4;320;0,998917975;3,066742711;0,996875;1,911522252;W;W;W;W;6650;5,88;3,822821645;0,769377326
103;3;bladzijde;0,454686179;2;;9;-0,4;0;0;0,4;358;0,998950546;3,075867951;0,997206704;1,916454554;W;W;W;W;11200;4,25;4,049218023;0,62838893
99;3;onbepaald;0,462909874;2;;9;-0,5;-0.6;-0.6;-0.5;347;0,998925971;3,068959453;0,997118156;1,915133313;W;W;W;W;3960;0,3;3,597695186;-0,522878745
81;3;bouwjaar;0,482426957;2;;8;-0,4;0;0;-0,4;305;0,999450185;3,263711854;1;1,959963985;W;W;W;W;2050;0,18;3,311753861;-0,744727495
106;3;strak;0,530849206;2;;5;-0,4;0;0;-0,4;320;0,998917975;3,066742711;0,996875;1,911522252;W;W;W;W;19400;16,76;4,28780173;1,224274014
114;3;jezelf;0,56637469;2;;6;-0,4;0;0;0,4;333;0,998761259;3,026078166;0,996996997;1,913330889;W;W;W;W;26900;265,61;4,42975228;2,424244422
120;3;paranormaal;0,610782291;2;;11;-0,1;-0,6;-0,6;-0,7;386;0,999122856;3,128955694;0,997409326;1,91949056;W;W;W;W;1790;2,04;3,252853031;0,309630167
92;3;ongunstig;0,666162398;2;;9;0;0;0;0;359;0,998832954;3,044059312;0,997214485;1,916570812;W;W;W;W;4270;0,75;3,630427875;-0,124938737
91;3;omzet;0,737337422;2;;5;0;0;0;0;347;0,999023347;3,097241699;0,997118156;1,915133313;W;W;W;W;10500;2,2;4,021189299;0,342422681
