nr;spelling;Word length;n_Belgie;n_Nederland;%juist_Belgie;%juist_Nederland;Minimum_land;Group;
934;wijranig;8;228;355;95,4;96,7;95,4;95;
935;trewen;6;251;303;95,4;96,5;95,4;95;
936;wemiak;6;251;300;95,4;97,5;95,4;95;
937;bameen;6;261;297;96,8;95,4;95,4;95;
938;veleniteerd;11;252;306;95,4;96,2;95,4;95;
939;hentin;6;230;314;95,4;96,6;95,4;95;
940;zuimnatuatie;12;253;314;95,4;97,7;95,4;95;
941;podenschap;10;263;345;96,0;95,4;95,4;95;
942;numelnetiek;11;253;293;95,4;96,4;95,4;95;
943;vereuben;8;253;326;95,4;97,7;95,4;95;
944;berlongen;9;233;346;97,3;95,4;95,4;95;
945;berschippend;12;234;323;95,5;95,4;95,4;95;
946;smapmatisch;11;254;298;95,4;95,8;95,4;95;
947;glarkier;8;254;320;95,4;96,1;95,4;95;
948;onvepeilerd;11;231;319;95,4;96,0;95,4;95;
949;fabroet;7;208;318;95,4;96,7;95,4;95;
950;bokenlien;9;237;347;96,9;95,4;95,4;95;
951;brelder;7;255;334;95,5;96,2;95,5;95;
952;zopel;5;249;302;95,8;95,5;95,5;95;
953;glarsuis;8;233;316;95,5;97,7;95,5;95;
954;vescheligd;10;272;303;95,7;95,5;95,5;95;
955;vebierding;10;248;327;96,2;95,5;95,5;95;
956;holalen;7;257;345;95,5;96,3;95,5;95;
957;fririlen;8;257;331;95,5;95,9;95,5;95;
958;pinikent;8;270;304;95,7;95,5;95,5;95;
959;attikt;6;243;328;96,5;95,5;95,5;95;
960;onnerwande;10;238;328;95,6;95,5;95,5;95;
961;navanning;9;258;316;95,5;97,7;95,5;95;
962;imbing;6;264;305;97,6;95,5;95,5;95;
963;mobbijn;7;228;305;95,8;95,5;95,5;95;
964;bebriepig;9;235;343;95,5;96,0;95,5;95;
965;ligeggie;8;259;331;95,5;96,8;95,5;95;
966;bermoring;9;259;320;95,5;97,0;95,5;95;
967;datsim;6;236;283;95,5;95,9;95,5;95;
968;walarminant;11;236;296;95,5;96,4;95,5;95;
969;evijs;5;260;331;95,5;97,8;95,5;95;
970;menetens;8;261;331;96,0;95,5;95,5;95;
971;prijper;7;250;331;96,6;95,5;95,5;95;
972;sches;5;220;308;97,1;95,6;95,6;95;
973;tagisor;7;237;300;95,6;96,1;95,6;95;
974;okstobutie;10;237;300;95,6;96,5;95,6;95;
975;vedraand;8;261;291;95,6;96,4;95,6;95;
976;rerk;4;261;336;95,6;97,5;95,6;95;
977;bepegdeld;9;266;309;95,6;95,6;95,6;95;
978;vemechten;9;231;309;95,9;95,6;95,6;95;
979;lestrundie;10;238;341;95,6;96,0;95,6;95;
980;sneem;5;272;286;95,7;95,6;95,6;95;
981;flusegen;8;286;315;95,6;97,7;95,6;95;
982;grapisie;8;255;334;97,5;95,6;95,6;95;
983;bieuw;5;239;321;95,6;96,4;95,6;95;
984;tromsiets;9;264;302;95,6;97,6;95,6;95;
985;wanositie;9;264;302;95,6;96,5;95,6;95;
986;fomiheer;8;255;313;97,5;95,6;95,6;95;
987;intuileinend;12;265;340;95,6;96,6;95,6;95;
988;fafial;6;241;295;95,6;96,4;95,6;95;
989;neuroek;7;217;312;95,6;97,6;95,6;95;
990;infalbaren;10;230;314;95,9;95,6;95,6;95;
991;berzieging;10;266;288;95,6;96,0;95,6;95;
992;meetdelijk;10;242;299;95,7;97,2;95,7;95;
993;mavil;5;267;301;95,7;96,2;95,7;95;
994;wedrokoom;9;243;331;95,7;97,5;95,7;95;
995;brirkeling;10;243;328;95,7;97,8;95,7;95;
996;slanspalent;11;268;330;95,7;96,8;95,7;95;
997;rolebram;8;269;311;95,7;97,3;95,7;95;
998;ebiblom;7;245;310;95,7;97,6;95,7;95;
999;lurlerig;8;245;315;95,7;97,7;95,7;95;
1000;fatijd;6;246;346;95,7;97,9;95,7;95;
1001;schijgswerf;11;249;321;95,8;95,7;95,7;95;
1002;blacht;6;246;322;96,1;95,8;95,8;95;
1003;miklenatisch;12;234;323;96,0;95,8;95,8;95;
1004;kanvelijkheid;13;249;319;95,8;97,0;95,8;95;
1005;roetorre;8;274;303;95,8;96,9;95,8;95;
1006;viriowaald;10;276;325;95,8;96,4;95,8;95;
1007;allizelaar;10;251;329;95,8;96,2;95,8;95;
1008;bevloetedis;11;226;343;95,8;97,9;95,8;95;
1009;senigen;7;227;341;95,8;96,0;95,8;95;
1010;inslaletie;10;253;315;95,8;96,0;95,8;95;
1011;traspontij;10;259;329;96,7;95,8;95,8;95;
1012;gerpierzel;10;252;329;97,5;95,8;95,8;95;
1013;gerulbel;8;254;322;95,9;96,4;95,9;95;
1014;lolict;6;266;305;96,4;95,9;95,9;95;
1015;koefmobberij;12;255;337;95,9;97,8;95,9;95;
1016;roortrig;8;230;321;95,9;96,4;95,9;95;
1017;berdomelen;10;230;307;95,9;97,3;95,9;95;
1018;scruputoel;10;258;333;96,3;95,9;95,9;95;
1019;strarokie;9;263;359;96,8;95,9;95,9;95;
1020;eukereed;8;231;326;95,9;97,4;95,9;95;
1021;tibbegen;8;257;319;95,9;97,0;95,9;95;
1022;frideurlet;10;232;301;95,9;96,2;95,9;95;
1023;ofslijkbaar;11;258;314;95,9;97,0;95,9;95;
1024;anwaad;6;233;335;95,9;96,2;95,9;95;
1025;bevrielten;10;234;317;96,0;96,0;96,0;96;
1026;smoebaan;8;260;366;96,0;96,5;96,0;96;
1027;ekpillantie;11;234;336;96,0;96,9;96,0;96;
1028;bermegen;8;234;323;96,0;96,7;96,0;96;
1029;blort;5;234;336;96,0;96,6;96,0;96;
1030;inophaarbaar;12;269;313;97,3;96,0;96,0;96;
1031;bekeutoging;11;233;287;96,4;96,0;96,0;96;
1032;beutstigen;10;261;297;96,0;96,1;96,0;96;
1033;bechts;6;235;327;96,0;96,5;96,0;96;
1034;achteteel;9;235;309;96,0;96,3;96,0;96;
1035;pamiefel;8;235;335;96,0;96,5;96,0;96;
1036;darfect;7;242;340;96,1;96,0;96,0;96;
1037;atalsmaal;9;247;314;97,0;96,0;96,0;96;
1038;zondalsbond;11;227;314;96,8;96,0;96,0;96;
1039;spipper;7;288;302;96,0;96,2;96,0;96;
1040;omelvlieden;11;262;344;96,0;97,9;96,0;96;
1041;spendetig;9;262;324;96,0;97,4;96,0;96;
1042;asterscheid;11;262;329;96,0;96,8;96,0;96;
1043;vewoeg;6;262;323;96,0;97,1;96,0;96;
1044;amhaalding;10;236;283;96,0;97,0;96,0;96;
1045;aartieken;9;236;289;96,0;96,4;96,0;96;
1046;pappief;7;236;300;96,0;97,2;96,0;96;
1047;varterel;8;232;341;96,4;96,0;96,0;96;
1048;duiketing;9;263;341;96,8;96,0;96,0;96;
1049;grarenisch;10;236;289;96,4;96,0;96,0;96;
1050;brapering;9;235;289;96,9;96,0;96,0;96;
1051;abbeschaagt;11;263;300;96,0;96,5;96,0;96;
1052;herklefel;9;263;300;96,0;97,2;96,0;96;
1053;velaalkelijk;12;237;320;96,0;97,7;96,0;96;
1054;adukreker;9;264;321;96,0;97,4;96,0;96;
1055;wrijmegen;9;238;341;96,0;97,8;96,0;96;
1056;tronsttijn;10;265;330;96,0;96,2;96,0;96;
1057;vebeerder;9;265;340;96,0;96,9;96,0;96;
1058;larzieking;10;243;318;97,4;96,0;96,0;96;
1059;ratmelaar;9;267;292;96,1;96,0;96,0;96;
1060;halgepollig;11;239;321;96,0;97,0;96,0;96;
1061;intotovitie;11;239;321;96,0;97,4;96,0;96;
1062;aterboren;9;266;319;96,4;96,0;96,0;96;
1063;ozoef;5;266;305;96,0;96,9;96,0;96;
1064;ontreensmaar;12;254;293;97,5;96,0;96,0;96;
1065;veschogbaar;11;240;316;96,1;96,3;96,1;96;
1066;snom;4;270;320;97,3;96,1;96,1;96;
1067;aatspoving;10;250;347;96,6;96,1;96,1;96;
1068;diowelisch;10;252;294;97,5;96,1;96,1;96;
1069;gepromen;8;239;321;96,5;96,1;96,1;96;
1070;jempet;6;214;312;96,1;96,3;96,1;96;
1071;blusto;6;214;317;96,1;97,3;96,1;96;
1072;isenkatie;9;240;322;97,8;96,1;96,1;96;
1073;veslammen;9;242;340;96,1;96,9;96,1;96;
1074;fagawel;7;242;310;96,1;96,3;96,1;96;
1075;omvoelaan;9;269;313;96,1;97,6;96,1;96;
1076;vinneljaart;11;269;346;96,1;97,9;96,1;96;
1077;krocuraas;9;270;314;96,1;97,3;96,1;96;
1078;maafsheid;9;269;325;97,3;96,1;96,1;96;
1079;pribuur;7;271;297;96,1;97,2;96,1;96;
1080;rijterzaals;11;244;309;96,1;96,6;96,1;96;
1081;bebrijler;9;244;322;96,1;97,7;96,1;96;
1082;oehamen;7;244;307;96,1;96,6;96,1;96;
1083;vegachtspunt;12;244;316;96,1;96,3;96,1;96;
1084;kroren;6;244;309;96,1;97,3;96,1;96;
1085;tezoper;7;244;308;96,1;97,3;96,1;96;
1086;anschorp;8;245;333;96,1;97,2;96,1;96;
1087;berschieven;11;245;302;96,1;96,9;96,1;96;
1088;koddenhoor;10;236;300;96,9;96,1;96,1;96;
1089;ogin;4;246;318;96,1;96,4;96,1;96;
1090;steupem;7;246;341;96,1;96,3;96,1;96;
1091;angeideling;11;225;301;96,3;96,2;96,2;96;
1092;injutome;8;219;347;96,2;96,7;96,2;96;
1093;loerna;6;247;319;96,2;96,4;96,2;96;
1094;zonserheid;10;247;312;96,2;97,0;96,2;96;
1095;spikiek;7;220;352;96,2;96,4;96,2;96;
1096;asseldig;8;221;323;96,2;96,7;96,2;96;
1097;arelvlasie;10;241;332;97,8;96,2;96,2;96;
1098;ompegeten;9;277;327;96,2;97,7;96,2;96;
1099;spucot;6;222;309;96,2;96,9;96,2;96;
1100;maddibar;8;222;291;96,2;96,7;96,2;96;
1101;andrijnlijk;11;250;331;96,2;97,5;96,2;96;
1102;amektel;7;246;307;96,6;96,2;96,2;96;
1103;schepting;9;236;307;96,4;96,2;96,2;96;
1104;kosenteur;9;252;380;96,2;96,4;96,2;96;
1105;gerbongen;9;220;308;96,7;96,2;96,2;96;
1106;torlate;7;255;309;97,5;96,3;96,3;96;
1107;snemmer;7;253;299;96,3;96,8;96,3;96;
1108;hokelal;7;258;310;97,6;96,3;96,3;96;
1109;brap;4;240;340;97,8;96,3;96,3;96;
1110;nettiler;8;227;314;96,3;96,3;96,3;96;
1111;zummer;6;264;341;96,4;96,3;96,3;96;
1112;berschiegen;11;256;327;96,3;96,5;96,3;96;
1113;kedelijks;9;285;325;96,3;97,1;96,3;96;
1114;tigdering;9;229;360;96,3;97,7;96,3;96;
1115;adwanderen;10;254;315;96,7;96,3;96,3;96;
1116;aanvatinen;10;259;315;97,6;96,3;96,3;96;
1117;nekeven;7;244;315;97,4;96,3;96,3;96;
1118;apmuselief;10;237;344;97,8;96,3;96,3;96;
1119;bedrannik;9;258;339;96,3;97,5;96,3;96;
1120;onvoger;7;258;320;96,3;97,0;96,3;96;
1121;drookperrie;11;230;326;96,3;96,4;96,3;96;
1122;torgegraads;11;246;317;96,6;96,3;96,3;96;
1123;slaarpol;8;231;321;96,4;97,7;96,4;96;
1124;bijtole;7;260;366;96,4;96,8;96,4;96;
1125;muikdelijk;10;260;310;96,4;96,9;96,4;96;
1126;veheitend;9;272;289;96,9;96,4;96,4;96;
1127;insiraren;9;232;322;96,4;97,7;96,4;96;
1128;toeptelig;9;269;319;96,9;96,4;96,4;96;
1129;jontast;7;259;321;97,2;96,4;96,4;96;
1130;bemonner;8;265;322;97,2;96,4;96,4;96;
1131;ampetwinsbaar;13;264;319;96,4;97,0;96,4;96;
1132;inlolaan;8;240;323;97,8;96,4;96,4;96;
1133;invenstordig;12;246;294;96,6;96,4;96,4;96;
1134;vegorgd;7;265;316;96,4;96,7;96,4;96;
1135;prodoet;7;249;324;97,0;96,4;96,4;96;
1136;knam;4;236;318;96,4;97,4;96,4;96;
1137;valtewas;8;236;326;96,4;97,1;96,4;96;
1138;egenweist;9;248;325;97,5;96,4;96,4;96;
1139;onsolig;7;266;309;96,4;96,9;96,4;96;
1140;rorio;5;256;355;96,7;96,4;96,4;96;
1141;warenator;9;288;326;96,7;96,4;96,4;96;
1142;tadeboe;7;230;297;97,7;96,5;96,5;96;
1143;schevem;7;239;281;96,5;97,8;96,5;96;
1144;berdeeft;8;239;313;96,5;96,6;96,5;96;
1145;fitken;6;239;313;96,5;97,3;96,5;96;
1146;deskelijk;9;269;313;96,5;97,0;96,5;96;
1147;voeping;7;259;299;97,6;96,5;96,5;96;
1148;nakelieur;9;238;329;97,3;96,5;96,5;96;
1149;intabavueel;11;286;331;97,1;96,5;96,5;96;
1150;vlallen;7;241;293;96,5;97,1;96,5;96;
1151;bendasta;8;241;330;96,5;97,1;96,5;96;
1152;drorzeloos;10;242;340;96,5;96,9;96,5;96;
1153;dunileins;9;274;334;96,5;97,2;96,5;96;
1154;berdoep;7;244;328;96,5;97,4;96,5;96;
1155;aarkien;7;219;336;97,1;96,6;96,6;96;
1156;mukiek;6;245;302;96,6;96,9;96,6;96;
1157;afmoeving;9;246;322;96,6;97,1;96,6;96;
1158;stobsato;8;278;318;96,6;97,0;96,6;96;
1159;lilikent;8;224;310;97,2;96,6;96,6;96;
1160;krurzig;7;274;341;96,9;96,6;96,6;96;
1161;aplordigen;10;233;280;97,7;96,6;96,6;96;
1162;voorkleller;11;219;347;96,6;97,3;96,6;96;
1163;vadenwinselijk;14;291;345;97,1;96,6;96,6;96;
1164;tyspude;7;251;319;96,6;97,0;96,6;96;
1165;klellig;7;230;314;96,8;96,6;96,6;96;
1166;onsonbalijk;11;252;328;96,7;97,1;96,7;96;
1167;gertiesterers;13;257;316;96,7;96,7;96,7;96;
1168;vernoldaren;11;256;318;97,5;96,7;96,7;96;
1169;akkebruikt;10;255;317;96,7;97,0;96,7;96;
1170;ootpeed;7;274;319;97,3;96,7;96,7;96;
1171;klechts;7;256;345;96,7;96,9;96,7;96;
1172;berdemd;7;257;319;96,7;97,7;96,7;96;
1173;bergegen;8;257;286;96,7;97,1;96,7;96;
1174;obbeschegt;10;265;322;97,6;96,7;96,7;96;
1175;intilm;6;226;341;96,7;97,2;96,7;96;
1176;olbangs;7;226;343;96,7;97,5;96,7;96;
1177;bemille;7;226;341;96,7;96,9;96,7;96;
1178;floluirijk;10;254;324;97,5;96,8;96,8;96;
1179;bervichten;10;260;342;96,8;97,2;96,8;96;
1180;wadeborker;10;277;326;97,7;96,8;96,8;96;
1181;gerdrulding;11;261;336;96,8;97,8;96,8;96;
1182;krurf;5;266;294;96,8;96,8;96,8;96;
1183;berschieking;12;230;287;96,8;97,4;96,8;96;
1184;schijgste;9;231;321;96,8;97,0;96,8;96;
1185;tokedoni;8;264;332;96,8;97,5;96,8;96;
1186;gadatast;8;286;331;97,8;96,8;96,8;96;
1187;padelstiten;11;252;332;97,1;96,8;96,8;96;
1188;weelslaad;9;237;334;96,9;96,8;96,8;96;
1189;odstuik;7;268;324;96,9;97,4;96,9;96;
1190;rummij;6;235;336;96,9;96,9;96,9;96;
1191;basrikton;9;261;336;97,6;96,9;96,9;96;
1192;vekeeuwen;9;236;296;96,9;97,9;96,9;96;
1193;griktaat;8;236;296;96,9;97,5;96,9;96;
1194;lacerdelijk;11;270;318;96,9;97,4;96,9;96;
1195;taukelle;8;265;338;97,6;96,9;96,9;96;
1196;venunding;9;272;313;96,9;97,3;96,9;96;
1197;wagerderisch;12;273;343;96,9;97,9;96,9;96;
1198;enzap;5;236;311;97,8;97,0;97,0;97;
1199;bleetbaar;9;242;324;97,0;97,4;97,0;97;
1200;zervens;7;247;346;97,9;97,0;97,0;97;
1201;prijnenceld;11;240;277;97,4;97,0;97,0;97;
1202;vrijvopig;9;253;312;97,1;97,0;97,0;97;
1203;nostenkie;9;243;305;97,0;97,6;97,0;97;
1204;pizing;6;247;313;97,0;97,0;97,0;97;
1205;klondslad;9;239;313;97,8;97,0;97,0;97;
1206;cunze;5;244;320;97,0;97,0;97,0;97;
1207;vrallen;7;242;314;97,4;97,0;97,0;97;
1208;zimouver;8;286;315;97,8;97,0;97,0;97;
1209;krogherti;9;245;315;97,4;97,0;97,0;97;
1210;coptact;7;245;346;97,0;97,6;97,0;97;
1211;nojoost;7;263;316;97,6;97,0;97,0;97;
1212;mandvarrijd;11;281;318;97,0;97,7;97,0;97;
1213;toteateur;9;281;342;97,0;97,8;97,0;97;
1214;alortstoding;12;246;320;97,0;97,0;97,0;97;
1215;lekinklijk;10;246;317;97,0;97,0;97,0;97;
1216;mopcurn;7;246;346;97,0;97,6;97,0;97;
1217;odenhuiten;10;214;317;97,5;97,0;97,0;97;
1218;geweintedis;11;247;335;97,0;97,2;97,0;97;
1219;liepenpasier;12;247;310;97,0;97,3;97,0;97;
1220;natcoom;7;227;318;97,2;97,0;97,0;97;
1221;wadiwer;7;248;327;97,0;97,1;97,0;97;
1222;gerplaaien;10;229;320;97,2;97,0;97,0;97;
1223;veschosten;10;259;320;97,6;97,0;97,0;97;
1224;dookels;7;262;320;97,2;97,0;97,0;97;
1225;delinkpandel;12;259;320;97,2;97,0;97,0;97;
1226;omvarvorsen;11;249;307;97,0;97,3;97,0;97;
1227;uitsechost;10;228;285;97,2;97,0;97,0;97;
1228;nacef;5;247;322;97,4;97,1;97,1;97;
1229;zieuwsbroef;11;251;300;97,1;97,2;97,1;97;
1230;klal;4;263;323;97,6;97,1;97,1;97;
1231;beanggeelden;12;252;337;97,1;97,5;97,1;97;
1232;tweelerkjus;11;252;314;97,1;97,3;97,1;97;
1233;ijkmilly;8;229;325;97,2;97,1;97,1;97;
1234;lunstemoles;11;264;289;97,2;97,1;97,1;97;
1235;schesks;7;253;289;97,1;97,1;97,1;97;
1236;adartlijk;9;253;326;97,1;97,4;97,1;97;
1237;lorfararen;10;253;289;97,1;97,8;97,1;97;
1238;igirabrie;9;240;290;97,8;97,1;97,1;97;
1239;ochterep;8;254;330;97,1;97,4;97,1;97;
1240;devensbiel;10;254;334;97,1;97,2;97,1;97;
1241;ezaktel;7;218;338;97,1;97,8;97,1;97;
1242;efgactief;9;255;312;97,1;97,6;97,1;97;
1243;ekwarzeren;10;255;320;97,1;97,4;97,1;97;
1244;tetaltive;9;219;353;97,1;97,9;97,1;97;
1245;vekedia;7;219;352;97,1;97,6;97,1;97;
1246;iklap;5;247;292;97,9;97,1;97,1;97;
1247;buidendonten;12;252;329;97,5;97,1;97,1;97;
1248;groegoding;10;262;293;97,2;97,1;97,1;97;
1249;lepeven;7;268;330;97,3;97,1;97,1;97;
1250;adaandes;8;258;330;97,1;97,1;97,1;97;
1251;vewiren;7;257;344;97,1;97,6;97,1;97;
1252;mentekid;8;257;286;97,1;97,4;97,1;97;
1253;stritzent;9;257;327;97,1;97,4;97,1;97;
1254;eereverniper;12;257;345;97,1;97,3;97,1;97;
1255;zossue;6;257;334;97,1;97,8;97,1;97;
1256;daargemmenin;12;266;294;97,2;97,1;97,1;97;
1257;vonve;5;252;294;97,5;97,1;97,1;97;
1258;broorroos;9;233;331;97,3;97,1;97,1;97;
1259;geelkebigen;11;241;331;97,8;97,1;97,1;97;
1260;rokeking;8;221;315;97,1;97,3;97,1;97;
1261;vezeid;6;258;333;97,1;97,8;97,1;97;
1262;poenbouber;10;258;311;97,1;97,3;97,1;97;
1263;neekrag;7;258;330;97,1;97,4;97,1;97;
1264;aantritilijk;12;258;327;97,1;97,7;97,1;97;
1265;berantweerdeteit;16;258;290;97,1;97,5;97,1;97;
1266;vukpel;6;252;332;97,5;97,1;97,1;97;
1267;momelons;8;259;304;97,2;97,6;97,2;97;
1268;beronming;9;273;335;97,3;97,2;97,2;97;
1269;andstopt;8;261;275;97,2;97,3;97,2;97;
1270;kangegen;8;210;336;97,5;97,2;97,2;97;
1271;pegaadade;9;224;365;97,2;97,7;97,2;97;
1272;wijpeloegen;11;224;310;97,2;97,3;97,2;97;
1273;pespenbaren;11;237;300;97,3;97,2;97,2;97;
1274;zwockbar;8;225;356;97,2;97,3;97,2;97;
1275;inkouken;8;263;330;97,2;97,8;97,2;97;
1276;gemoeitoedig;12;263;316;97,2;97,7;97,2;97;
1277;tesignegen;10;263;316;97,2;97,7;97,2;97;
1278;kenvelopen;10;263;301;97,2;97,2;97,2;97;
1279;geneetgemdel;12;226;305;97,2;97,6;97,2;97;
1280;wutlen;6;264;295;97,2;97,5;97,2;97;
1281;vepikkig;8;239;302;97,4;97,2;97,2;97;
1282;kigneneris;10;266;305;97,2;97,6;97,2;97;
1283;antowechie;10;266;319;97,2;97,4;97,2;97;
1284;vory;4;266;319;97,2;97,4;97,2;97;
1285;zismiak;7;226;343;97,7;97,2;97,2;97;
1286;bloefpe;7;268;307;97,3;97,6;97,3;97;
1287;berzweffen;10;270;345;97,7;97,3;97,3;97;
1288;barrawemaren;12;269;336;97,3;97,5;97,3;97;
1289;otwate;6;269;358;97,3;97,9;97,3;97;
1290;zorditaseren;12;269;358;97,3;97,4;97,3;97;
1291;sefpor;6;269;329;97,3;97,8;97,3;97;
1292;hermeerleter;12;269;319;97,3;97,7;97,3;97;
1293;kondlerstig;11;245;346;97,9;97,3;97,3;97;
1294;vehoutelt;9;231;321;97,3;97,7;97,3;97;
1295;tienenis;8;244;309;97,8;97,3;97,3;97;
1296;pigulder;8;232;309;97,3;97,6;97,3;97;
1297;leglaant;8;272;286;97,3;97,8;97,3;97;
1298;brapla;6;247;312;97,4;97,3;97,3;97;
1299;bermaring;9;258;352;97,6;97,3;97,3;97;
1300;onspepen;8;237;314;97,3;97,3;97,3;97;
1301;vewilleloos;11;255;314;97,9;97,3;97,3;97;
1302;gerschuikele;12;254;314;97,5;97,3;97,3;97;
1303;levading;8;238;314;97,8;97,3;97,3;97;
1304;vemouw;6;236;331;97,3;97,8;97,3;97;
1305;etdentrowateit;14;236;296;97,3;97,5;97,3;97;
1306;neezat;6;261;315;97,6;97,3;97,3;97;
1307;pechtizing;10;276;278;97,3;97,7;97,3;97;
1308;ukeef;5;237;323;97,3;97,4;97,3;97;
1309;batveeto;8;237;344;97,3;97,6;97,3;97;
1310;haispisse;9;243;317;97,4;97,3;97,3;97;
1311;vejaarlenhaad;13;239;302;97,4;97,6;97,4;97;
1312;aperuild;8;240;331;97,4;97,8;97,4;97;
1313;gewuksvijn;10;281;342;97,4;97,8;97,4;97;
1314;vrijslerieus;12;241;308;97,4;97,6;97,4;97;
1315;tegerpijds;10;242;322;97,4;97,4;97,4;97;
1316;jangerenkift;12;283;338;97,4;97,5;97,4;97;
1317;verneertezen;12;244;328;97,4;97,8;97,4;97;
1318;veduksfurmer;12;244;348;97,4;97,6;97,4;97;
1319;abkupt;6;244;333;97,4;97,5;97,4;97;
1320;ampekestigd;11;245;326;97,4;97,4;97,4;97;
1321;aarmaring;9;245;346;97,4;97,9;97,4;97;
1322;gejorarte;9;245;346;97,4;97,6;97,4;97;
1323;afgerstrezen;12;245;314;97,4;97,7;97,4;97;
1324;wuldauto;8;245;286;97,4;97,4;97,4;97;
1325;wamegreren;10;244;287;97,8;97,4;97,4;97;
1326;paud;4;247;292;97,4;97,8;97,4;97;
1327;odenwuitang;11;247;288;97,4;97,8;97,4;97;
1328;plambing;8;248;330;97,5;97,4;97,4;97;
1329;lislekening;11;289;314;97,5;97,7;97,5;97;
1330;toevaping;9;264;373;97,6;97,5;97,5;97;
1331;mekjen;6;249;303;97,5;97,6;97,5;97;
1332;zujucal;7;252;380;97,5;97,8;97,5;97;
1333;ramfe;5;252;321;97,5;97,7;97,5;97;
1334;neharber;8;255;316;97,5;97,7;97,5;97;
1335;nenje;5;255;316;97,5;97,7;97,5;97;
1336;otfectief;9;259;310;97,6;97,6;97,6;97;
1337;konbijleut;10;269;347;97,7;97,6;97,6;97;
1338;rortrormig;10;255;305;97,9;97,6;97,6;97;
1339;vontjat;7;264;290;97,6;97,8;97,6;97;
1340;jorstifuge;10;265;340;97,6;97,8;97,6;97;
1341;achtelkeurt;11;221;317;97,6;97,7;97,6;97;
1342;ontlertenen;11;269;358;97,7;97,6;97,6;97;
1343;opbino;6;269;347;97,7;97,9;97,7;97;
1344;mamiergrem;10;286;314;97,8;97,7;97,7;97;
1345;ramaxed;7;246;314;97,9;97,7;97,7;97;
1346;neemteperlof;12;226;343;97,7;97,9;97,7;97;
1347;overmifis;9;228;285;97,7;97,8;97,7;97;
1348;aatsloging;10;240;321;97,8;97,7;97,7;97;
1349;nenteking;9;276;325;97,7;97,7;97,7;97;
1350;eitelbaafde;11;255;326;97,9;97,7;97,7;97;
1351;maneetdoen;10;248;327;97,9;97,7;97,7;97;
1352;uitmepoend;10;242;340;97,8;97,8;97,8;97;
