nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
58;2;deurknop;0,977450864;1;;8;0;0;0;0;342;0,999519067;3,301449522;1;1,959963985;W;W;W;W;1760;1,07;3,245512668;0,029383778
113;3;rolschaats;0,0331963;1;;10;-0,5;0;0;0,5;362;0,998942133;3,073486386;0,997237569;1,916915884;W;W;W;W;371;0,18;2,56937391;-0,744727495
109;3;ongeval;0,056858663;1;;7;0,3;-0,6;-0,6;-0,4;352;0,998960238;3,078633507;0,997159091;1,915743699;W;W;W;W;4670;8,07;3,669316881;0,906873535
102;3;kaak;0,16516198;1;;4;-0,4;0;0;-0,4;346;0,998982061;3,084947813;0,997109827;1,915009207;W;W;W;W;7000;5,12;3,84509804;0,709269961
85;3;snoeien;0,203267519;1;;7;-0,4;0;0;-0,4;319;0,999461043;3,269359265;1;1,959963985;W;W;W;W;2240;0,75;3,350248018;-0,124938737
112;3;verbinden;0,227642082;1;;9;-0,5;0;0;0,4;324;0,998878083;3,055903524;0,99691358;1,912093538;W;W;W;W;13400;7,02;4,127104798;0,846337112
117;3;afknapper;0,306287451;1;;9;-0,1;-0,6;-0,6;0,1;386;0,999122856;3,128955694;0,997409326;1,91949056;W;W;W;W;1750;0,64;3,243038049;-0,193820026
83;3;voorspoedig;0,390088393;1;;11;0;0;0;0;307;0,999452831;3,265078313;1;1,959963985;W;W;W;W;3810;0,82;3,580924976;-0,086186148
110;3;bevruchting;0,455535513;1;;11;-0,7;0;0;0,1;292;0,998897219;3,061058126;0,996575342;1,907106101;W;W;W;W;2190;0,59;3,340444115;-0,229147988
90;3;blok;0,465919494;1;;4;-0,4;0;0;-0,4;298;0,999452776;3,26504963;1;1,959963985;W;W;W;W;19600;11,62;4,292256071;1,065206128
119;3;knop;0,494593672;1;;4;-0,1;-0,6;-0,6;-0,7;386;0,999122856;3,128955694;0,997409326;1,91949056;W;W;W;W;8520;16,46;3,930439595;1,216429831
87;3;omtrek;0,544816298;1;;6;-0,4;0;0;-0,4;287;0,999443481;3,260276027;1;1,959963985;W;W;W;W;5550;2,7;3,744292983;0,431363764
89;3;scheerschuim;0,60894841;1;;12;-0,4;0;0;-0,3;358;0,998950546;3,075867951;0,997206704;1,916454554;W;W;W;W;945;0,39;2,975431809;-0,408935393
116;3;gokspel;0,644993971;1;;7;-0,4;0;0;0,5;298;0,999452776;3,26504963;1;1,959963985;W;W;W;W;891;0,11;2,949877704;-0,958607315
95;3;geestelijk;0,721361784;1;;10;0;0;0;0;307;0,999452831;3,265078313;1;1,959963985;W;W;W;W;14600;6,93;4,164352856;0,840733235
100;3;worden;0,743504181;1;;6;0;0;0;0;301;0,998756761;3,024982177;0,996677741;1,908610996;W;W;W;W;351000;1070,1;5,545307116;3,029424364
84;3;nutteloos;0,814172489;1;;9;-0,4;0;0;0,4;316;0,999454327;3,265853613;1;1,959963985;W;W;W;W;4830;8,71;3,683947131;0,940018155
104;3;bepaald;0,842781945;1;;7;-0,4;0;0;-0,4;320;0,998917975;3,066742711;0,996875;1,911522252;W;W;W;W;90300;33,02;4,95568775;1,518777069
115;3;beeldspraak;0,858694797;1;;11;-0,4;0;0;0,4;301;0,998756761;3,024982177;0,996677741;1,908610996;W;W;W;W;4870;0,89;3,687528961;-0,050609993
107;3;zandbak;0,925136903;1;;7;-0,4;0;0;0,4;363;0,998912997;3,06537049;0,997245179;1,917029691;W;W;W;W;2650;0,75;3,423245874;-0,124938737
94;3;gelegenheid;0,940506146;1;;11;-0,4;0;0;0,4;287;0,999443481;3,260276027;1;1,959963985;W;W;W;W;65700;14,77;4,81756537;1,169380495
138;4;vraagstuk;0,042006951;1;;9;-0,1;0;0;-0,7;347;0,99873159;3,018914587;0,997118156;1,915133313;W;W;W;W;11200;0,69;4,049218023;-0,161150909
155;4;kunstenaar;0,075171803;1;;10;0,3;0;0,9;-0,4;350;0,998637125;2,997084733;0,997142857;1,915501552;W;W;W;W;31900;11,64;4,503790683;1,06595298
124;4;slotvraag;0,097636308;1;;9;-0,1;0;0,9;0;352;0,998741622;3,021319507;0,997159091;1,915743699;W;W;W;W;457;;2,6599162;
146;4;schrikkeljaar;0,107940137;1;;13;-0,4;0;0;0,4;368;0,998609513;2,990964955;0,997282609;1,917589808;W;W;W;W;1550;0,05;3,190331698;-1,301029996
152;4;zien;0,140705278;1;;4;-0,4;0;0;-0,4;316;0,998527553;2,973432219;0,996835443;1,91093715;W;W;W;W;258000;1538,8;5,411619706;3,187182178
125;4;spar;0,232489192;1;;4;0;0;0;0;338;0,998591353;2,987000457;0,99704142;1,913991031;W;W;W;W;2110;0,14;3,324282455;-0,853871964
130;4;fotografisch;0,333026354;1;;12;0;0;0;0;322;0,998535618;2,975117505;0,99689441;1,911809591;W;W;W;W;2530;0,57;3,403120521;-0,244125144
126;4;volwaardig;0,343886329;1;;10;0,3;0;0;-0,4;326;0,998510455;2,969887284;0,996932515;1,912374152;W;W;W;W;4580;0,34;3,660865478;-0,468521083
128;4;fruit;0,399632237;1;;5;0;0;0;0;339;0,998622701;2,993873821;0,997050147;1,914120821;W;W;W;W;16000;12,94;4,204119983;1,111934276
127;4;verfpot;0,424047326;1;;7;0;0;0;0;364;0,998572211;2,982871649;0,997252747;1,917142897;W;W;W;W;336;0,02;2,526339277;-1,698970004
158;4;aanvoeren;0,475867395;1;;9;0,3;0;0,9;-0,3;348;0,998555808;2,979373526;0,997126437;1,915256736;W;W;W;W;3180;1,74;3,50242712;0,240549248
159;4;balkon;0,615220895;1;;6;0,3;0;1,3;-0,4;332;0,99853381;2,974738861;0,996987952;1,913196577;W;W;W;W;7900;6,63;3,897627091;0,821513528
154;4;blazen;0,649655275;1;;6;-0,5;0;0,9;-0,3;373;0,99871106;3,01404689;0,997319035;1,918135487;W;W;W;W;8690;17,65;3,939019776;1,24674471
147;4;alleen;0,679358694;1;;6;-0,5;0;0;-0,5;310;0,998595448;2,987890202;0,996774194;1,910032474;W;W;W;W;304000;1469,24;5,482873584;3,167092743
156;4;geel;0,71529398;1;;4;0,3;0;1;0,3;346;0,998572785;2,982994614;0,997109827;1,915009207;W;W;W;W;21500;9,56;4,33243846;0,980457892
143;4;eergisteren;0,757519804;1;;11;-0,4;0;0;-0,4;345;0,998679237;3,006639789;0,997101449;1,91488441;W;W;W;W;3360;3,7;3,526339277;0,568201724
160;4;gezicht;0,830851303;1;;7;0,4;0;1,1;-0,4;307;0,99851739;2,971320705;0,996742671;1,909567484;W;W;W;W;142000;183,63;5,152288344;2,263943634
145;4;verblijfplaats;0,85929182;1;;14;-0,4;0;0;0,4;339;0,998622701;2,993873821;0,997050147;1,914120821;W;W;W;W;5600;2,84;3,748188027;0,45331834
140;4;wachtlijst;0,924791669;1;;10;-0,1;0;0,9;-0,1;357;0,998635935;2,996818513;0,99719888;1,916337671;W;W;W;W;2240;1,42;3,350248018;0,152288344
