GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_002,ru.job4j.chess,Board,12,92,5,7,3,13,5,4,0,3
chapter_002,ru.job4j.chess,Cell,10,54,2,8,5,14,4,8,2,5
chapter_002,ru.job4j.chess,Bishop,0,85,2,6,0,13,2,5,0,3
chapter_002,ru.job4j.chess,FigureNotFoundException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.chess,ImposableMoveException,0,4,0,0,0,2,0,1,0,1
chapter_002,ru.job4j.chess,Figure,0,6,0,0,0,3,0,1,0,1
chapter_002,ru.job4j.chess,OccupiedWayException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.tracker,MenuTracker,0,126,1,3,0,22,1,5,0,4
chapter_002,ru.job4j.tracker,StubInput,0,35,0,0,0,7,0,3,0,3
chapter_002,ru.job4j.tracker,MenuTracker.Edit,0,28,0,0,0,8,0,2,0,2
chapter_002,ru.job4j.tracker,MenuTracker.FindBuID,20,75,6,4,2,13,4,3,0,2
chapter_002,ru.job4j.tracker,MenuTracker.FindByName,12,53,2,4,1,11,2,3,0,2
chapter_002,ru.job4j.tracker,ShowItems,4,64,2,4,1,11,2,3,0,2
chapter_002,ru.job4j.tracker,ValidateInput,9,28,0,2,3,12,1,3,1,2
chapter_002,ru.job4j.tracker,Item,4,83,0,0,2,21,1,10,1,10
chapter_002,ru.job4j.tracker,StartUI,14,70,1,1,2,11,2,2,1,2
chapter_002,ru.job4j.tracker,MenuOutException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.tracker,ConsoleInput,55,0,6,0,13,0,6,0,3,0
chapter_002,ru.job4j.tracker,BaseAction,3,25,0,0,1,5,1,2,1,2
chapter_002,ru.job4j.tracker,MenuTracker.Exit,1,8,0,0,1,3,1,1,1,1
chapter_002,ru.job4j.tracker,MenuTracker.Add,0,43,0,0,0,10,0,2,0,2
chapter_002,ru.job4j.tracker,MenuTracker.Delete,12,53,2,4,1,11,2,3,0,2
chapter_002,ru.job4j.tracker,Tracker,2,168,10,18,2,36,10,13,0,9
chapter_002,ru.job4j.profession,Patient,3,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.profession,Teacher,7,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.profession,Student,3,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.profession,Learning,3,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.profession,Doctor,7,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.profession,Engineer,7,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.profession,Building,3,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.profession,Diagnose,6,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.profession,House,3,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.profession,Profession,6,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.pseudo,Square,0,26,0,0,0,7,0,2,0,2
chapter_002,ru.job4j.pseudo,Paint,0,8,0,0,0,3,0,2,0,2
chapter_002,ru.job4j.pseudo,Triangle,0,26,0,0,0,7,0,2,0,2
chapter_002,ru.job4j.coffe,Change,0,80,0,6,0,14,0,5,0,2
